Year,Set Name,Language,Card #,Card Name,Rarity,Quantity,Edition,Cardmarket Price
2021,Ignition Assault,FR,IGAS-FR040,Megalith Aratron,Super Rare,2,1st Edition,0.19
2021,Ignition Assault,FR,IGAS-FR041,Earth Golem @Ignister,Rare,1,1st Edition,0.34
2021,Ignition Assault,FR,IGAS-FR042,Wind Pegasus @Ignister,Super Rare,2,1st Edition,0.22
2021,Ignition Assault,FR,IGAS-FR043,Karakuri Super Shogun mdl 00N Bureibu,Super Rare,1,1st Edition,0.13
2021,Ignition Assault,FR,IGAS-FR044,Light Dragon @Ignister,Super Rare,1,1st Edition,0.25
2021,Ignition Assault,FR,IGAS-FR046,Fire Phoenix @Ignister,Rare,3,1st Edition,0.19
2021,Ignition Assault,FR,IGAS-FR048,"Aussa the Earth Charmer, Immovable",Rare,1,1st Edition,4.37
2021,Ignition Assault,FR,IGAS-FR049,Gravity Controller,Common,3,1st Edition,0.23
2021,Ignition Assault,FR,IGAS-FR051,TA.I. Strike,Common,4,1st Edition,0.07
2021,Ignition Assault,FR,IGAS-FR053,A.I. Love Fusion,Rare,1,1st Edition,0.11
2021,Ignition Assault,FR,IGAS-FR054,A.I.'s Ritual,Common,3,1st Edition,0.07
2021,Ignition Assault,FR,IGAS-FR056,Ancient Warriors Saga - Sun-Liu Alliance,Rare,1,1st Edition,0.12
2021,Ignition Assault,FR,IGAS-FR057,Megalith Portal,Common,4,1st Edition,0.17
2021,Ignition Assault,FR,IGAS-FR058,Karakuri Gama Oil,Common,3,1st Edition,0.05
2021,Ignition Assault,FR,IGAS-FR059,Condolence Puppet,Common,2,1st Edition,0.13
2021,Ignition Assault,FR,IGAS-FR060,Charged-Up Heraldry,Common,2,1st Edition,0.05
2021,Ignition Assault,FR,IGAS-FR061,Time Thief Startup,Common,2,1st Edition,0.07
2021,Ignition Assault,FR,IGAS-FR062,Sky Striker Maneuver - Scissors Cross,Rare,2,1st Edition,0.25
2021,Ignition Assault,FR,IGAS-FR063,Ghost Meets Girl - A Mayakashi's Manuscript,Common,3,1st Edition,0.05
2021,Ignition Assault,FR,IGAS-FR064,Dragonmaid Send-Off,Common,6,1st Edition,0.12
2021,Ignition Assault,FR,IGAS-FR065,Disposable Learner Device,Common,3,1st Edition,0.05
2021,Ignition Assault,FR,IGAS-FR066,Kuji-Kiri Curse,Super Rare,1,1st Edition,0.35
2021,Ignition Assault,FR,IGAS-FR068,Double-Edged Sword,Common,2,1st Edition,0.1
2021,Ignition Assault,FR,IGAS-FR069,A.I. Shadow,Common,4,1st Edition,0.07
2021,Ignition Assault,FR,IGAS-FR070,Ancient Warriors Saga - Defense of Changban,Rare,2,1st Edition,0.13
2021,Ignition Assault,FR,IGAS-FR071,Megalith Promotion,Rare,2,1st Edition,0.1
2021,Ignition Assault,FR,IGAS-FR072,Megalith Emergence,Common,6,1st Edition,0.15
2021,Ignition Assault,FR,IGAS-FR073,Karakuri Cash Inn,Common,4,1st Edition,0.05
2021,Ignition Assault,FR,IGAS-FR074,Resurgam Xyz,Common,3,1st Edition,0.03
2021,Ignition Assault,FR,IGAS-FR075,Time Thief Retrograde,Common,5,1st Edition,0.1
2021,Ignition Assault,FR,IGAS-FR076,Sales Pitch,Secret Rare,1,1st Edition,0.79
2021,Ignition Assault,FR,IGAS-FR077,Armory Call,Common,4,1st Edition,0.08
2021,Ignition Assault,FR,IGAS-FR078,Mutually Affured Destruction,Common,3,1st Edition,0.03
2021,Ignition Assault,FR,IGAS-FR079,Fiendish Portrait,Rare,1,1st Edition,0.04
2021,Ignition Assault,FR,IGAS-FR080,Head Judging,Common,2,1st Edition,0.06
2021,Ignition Assault,FR,IGAS-FR081,Guard Ghost,Common,4,1st Edition,0.03
2021,Ignition Assault,FR,IGAS-FR082,"Feedran, the Winds of Mischief",Common,3,1st Edition,0.03
2021,Ignition Assault,FR,IGAS-FR083,Nine-Lives Cat,Common,3,1st Edition,0.13
2021,Ignition Assault,FR,IGAS-FR084,Execution of the Contract,Common,2,1st Edition,0.05
2021,Ignition Assault,FR,IGAS-FR086,"Redbeard, the Plunder Patroll Matey",Ultra Rare,1,1st Edition,6.29
2021,Ignition Assault,FR,IGAS-FR088,Plunder Patrollship Moerk,Secret Rare,1,1st Edition,2.17
2021,Ignition Assault,FR,IGAS-FR089,"Blackbeard, the Plunder Patroll Captain",Ultra Rare,1,1st Edition,0.6
2021,Ignition Assault,FR,IGAS-FR090,Plunder Patroll Shipyarrrd,Rare,1,1st Edition,0.17
2021,Ignition Assault,FR,IGAS-FR091,Plunder Patroll Booty,Rare,1,1st Edition,0.16
2021,Ignition Assault,FR,IGAS-FR092,"Shiny Black ""C"" Squadder",Common,4,1st Edition,0.06
2021,Ignition Assault,FR,IGAS-FR093,Marincess Pascalus,Super Rare,1,1st Edition,4.45
2021,Ignition Assault,FR,IGAS-FR094,Time Thief Perpetua,Super Rare,1,1st Edition,0.11
2021,Ignition Assault,FR,IGAS-FR095,Bellcat Fighter,Common,3,1st Edition,0.03
2021,Ignition Assault,FR,IGAS-FR097,Linguriboh,Ultra Rare,1,1st Edition,5.15
2021,Ignition Assault,FR,IGAS-FR098,Link Party,Common,4,1st Edition,0.02
2021,Ignition Assault,FR,IGAS-FR099,Matching Outfits,Common,3,1st Edition,0.03
